smiles,CYP450_CYP1A2,CYP450_CYP2C19,CYP450_CYP2C9,CYP450_CYP2D6,CYP450_CYP3A4,Carcinogenicity_Carcinogenicity,Cardiotoxicity_Cardiotoxicity-1,Cardiotoxicity_Cardiotoxicity-10,Cardiotoxicity_Cardiotoxicity-30,Cardiotoxicity_Cardiotoxicity-5,Clinical_Toxicity_Clinical_toxicity,Developmental_and_Reproductive_Toxicity_Developmental_Toxicity,Developmental_and_Reproductive_Toxicity_Reproductive_Toxicity,Endocrine_Disruption_NR-AR-LBD,Endocrine_Disruption_NR-AR,Endocrine_Disruption_NR-AhR,Endocrine_Disruption_NR-ER-LBD,Endocrine_Disruption_NR-ER,Endocrine_Disruption_NR-PPAR-gamma,Endocrine_Disruption_NR-aromatase,Endocrine_Disruption_SR-ARE,Endocrine_Disruption_SR-ATAD5,Endocrine_Disruption_SR-HSE,Endocrine_Disruption_SR-MMP,Endocrine_Disruption_SR-p53,Hepatotoxicity_Hepatotoxicity,Irritation_and_Corrosion_Eye_Corrosion,Irritation_and_Corrosion_Eye_Irritation,Mutagenicity_Ames_Mutagenicity,Respiratory_Toxicity_Respiratory_Toxicity
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](N)c3ccc(O)cc3)[C@@H]2SC1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@@H](N)c3ccccc3)[C@@H]2SC1,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,,
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OC2CN(C(c3ccccc3)c3ccccc3)C2)=C(N)N1,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,1.0,,,,,,,,,
CC1=C(C(=O)OCCN(Cc2ccccc2)c2ccccc2)C(c2cccc([N+](=O)[O-])c2)C(P2(=O)OCC(C)(C)CO2)=C(C)N1,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,
CC1=C(C(=O)OCc2ccccc2)C(C2CC2)NC(=O)N1CCCCCC(=O)O,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)OCc2ccccc2)C(c2ccc(C(C)(C)C)cc2)NC(=O)N1CCCCCC(=O)O,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)OCc2ccccc2)C(c2ccc(Cl)cc2)NC(=O)N1CCCCCC(=O)O,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)OCc2ccccc2)C(c2ccc([N+](=O)[O-])cc2)NC(=O)N1CCCCCC(=O)O,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)OCc2ccccc2)C(c2ccc3ccccc3c2)NC(=O)N1CCCCCC(=O)O,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)OCc2ccccc2)C(c2cccc([N+](=O)[O-])c2)NC(=O)N1CCCCCC(=O)O,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)OCc2ccccc2)C(c2ccccc2)NC(=O)N1CCCCCC(=O)O,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H]([NH3+])C3=CCC=CC3)[C@H]2SC1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
CC1=C(C(C)C)CC=CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CC1=C(C(C)C)CCCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CC1=C(C(N)=O)C(c2ccccc2)n2nc(-c3ccncc3)nc2N1,,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(N)=O)C(c2ccccn2)n2nc(SCc3ccccc3Cl)nc2N1,,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C(N)=O)C(c2cccs2)n2nc(-c3cccc(Cl)c3)nc2N1,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C)/C(=N\OC(=O)/C=C/c2ccccc2)C=CC1=O,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C)C(=O)C(C(CCCCCC(=O)O)c2ccccc2)=C(C)C1=O,,,,,,0.0,,,,,,,,,,,,,,,1.0,,0.0,,,1.0,,,,
CC1=C(C)C(=O)C(C)=C(C)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O,1.0,1.0,1.0,,1.0,,0.0,0.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,,,,1.0,0.0,0.0,,0.0,,,,,
CC1=C(C)C(=O)OC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
CC1=C(C)CC(c2ccccc2)C(C(=O)c2ccccc2O)C1,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C)S(=O)(=O)CCS1(=O)=O,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
CC1=C(C/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,,,,,,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,0.0,,0.0,,,,,,,
CC1=C(C2=C(C)C(C(C)C)C3=C(C(=O)C(O)C3O)C2O)C(O)C2=C(C(O)C(O)C2=O)C1C(C)C,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(C=O)C(C)(C)CC=C1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=C(C=O)C(C)(C)CCC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc(S(C)(=O)=O)cc1,1.0,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,
CC1=C(CC(=O)O)c2cc(F)ccc2/C1=C\c1ccc([S+](C)[O-])cc1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)(=O)=O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)=O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,
CC1=C(CC(=O)[O-])c2cc(F)ccc2/C1=C\c1ccc(S(C)=O)cc1,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
CC1=C(CC=O)C(C)(C)CCC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=C(CCC(=O)[O-])c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(C)c5C(C)O)c(C)c4C(C)OC(C)c1c(C)c2cc4nc(cc5nc(cc6[nH]c(cc1[nH]2)c(C)c6C(C)O)C(C)=C5CCC(=O)[O-])C(CCC(=O)[O-])=C4C)C(C)=C3CCC(=O)[O-],,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,
CC1=C(CC[C@H](C)CO)O[C@@H]2C[C@@H]3[C@H]4CC[C@H]5C[C@@H](O)CC[C@]5(C)[C@@H]4CC(=O)[C@@]3(C)[C@@H]12,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(CO)C(=O)OC(C(C)C2CCC3C4CC5OC56C(O)C=CC(=O)C6(C)C4CCC23C)C1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=C(Cl)C(=O)OC1O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=C(Nc2c(C)cc(O)cc2O)C(=O)C=c2oc3c(c21)C(C)=C(Nc1c(C)cc(O)cc1O)C(=O)C=3,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C(O)C(=O)C(C)O1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=C(O)C(=O)C(O)CO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=C(O)C(=O)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=C(O)C(=O)CO1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,1.0,
CC1=C(O)C(=O)OC1C,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,
CC1=C(O)C(=O)[C@H]2O[C@@H]2C1=O,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C/C(=C(/c2ccc(O)c(C)c2)c2ccccc2C(=O)O)C=CC1=O,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2C(=CC(C)(C)C2O)C(=O)C(C)(O)C12CC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=C2C(=CC(C)(CO)C2O)C(=O)C(C)(O)C12CC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=C2C(=COC(C)C2C)C(O)=C(C(=O)O)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=C2C(=CO[C@@H](C)[C@@H]2C)C(=O)C(C(=O)O)=C1O,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2C(=CO[C@H](C)[C@H]2C)C(O)=C(C(=O)O)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0
CC1=C2C(=O)[C@@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@H]2CC[C@@]12O[C@H]1C[C@H](C)CN[C@H]1[C@@H]2C,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2C(O)C(=O)OC3CC4C(C)(C)C(=O)C=C[C@]4(C)C(CC1)[C@@]23C,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=C2CC3C(CC(=O)C4CC(O)CCC43C)C2CCC12OC1CC(C)CNC1C2C,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=C2CCC3C4CCC(=O)[C@@]4(C)CCC3[C@]2(C)CCC1=O,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,
CC1=C2N=C(C=C3N=C(C(C)=C4N([Co+]C[C@H]5O[C@@H](n6cnc7c(N)ncnc76)[C@H](O)[C@@H]5O)C(C(CC(N)=O)C4(C)CCC(=O)NCC(C)OP(=O)([O-])O[C@@H]4[C@@H](CO)O[C@H](n5cnc6cc(C)c(C)cc65)[C@@H]4O)C4(C)N=C1C(CCC(N)=O)C4(C)CC(N)=O)C(CCC(N)=O)C3(C)C)C(CCC(N)=O)C2(C)CC(N)=O,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,
CC1=C2[C@@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@]2(C)C=CC1=O,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2[C@@H]3OC(=O)[C@H](C)[C@H]3CC[C@@]2(C)C=CC1=O,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=C2[C@H](/C=C(\C)C(=O)O)CC[C@@H](C)[C@H]2CC1,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,1.0,,0.0,,,,,
CC1=C2[C@H](/C=C(\C)C(=O)O)CC[C@@H](C)[C@H]2[C@H](O)C1,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@@]2(C)C=CC1=O,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=C2[C@H]3OC(=O)[C@H](C)[C@@H]3[C@@H](O)C[C@]2(C)C=CC1=O,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N(C)C)cc2)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=CC(=C(C#N)C#N)C=C(C=Cc2ccc(N(C)C)cc2)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
CC1=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=CC1=N,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)N1Cc1ccco1,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)O1,1.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)/C(=C(/C)[O-])C(=O)O1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=CC(=O)C(=C(C)C)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CC(=O)C(=C(C)C)CC2C(C)(O)CCC12O,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CC(=O)C(C(C)C)=CC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,0.0,
CC1=CC(=O)C(C(C)C)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CC(=O)C(C)=C(C)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
CC1=CC(=O)C(C)=CC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
CC1=CC(=O)C2=C(C)CCC3C(C)C(=O)OC3C12,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CC(=O)C2=C(C)CC[C@H]3[C@H](C)C(=O)O[C@@H]3[C@H]12,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)C2=C(C)CC[C@H]3[C@H](C)C(=O)O[C@H]3[C@H]12,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)C2=C(C)C[C@H](O)[C@H]3[C@H](C)C(=O)O[C@@H]3C12,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)C2=C(C)C[C@H](O)[C@H]3[C@H](C)C(=O)O[C@H]3[C@H]12,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)C=C(C)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CC(=O)C=C2CCC3C4CCC(=O)C4(C)CCC3C12C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CC(=O)C=CC1(C)C(Cl)(Cl)Cl,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)C=CC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,
CC1=CC(=O)CC(C)(C)C1,,,,,,1.0,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
CC1=CC(=O)CC(C)(C)C1(O)/C=C/C(C)=C\C(=O)O,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=CC(=O)CC(C)(C)C1=O,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,
CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C\C(C)=C\C(=O)O,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)CC(C)(C)[C@]1(O)/C=C\C(C)=C\C(=O)O,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)CC(C)C12CCC(=C(C)C)C2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CC(=O)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
CC1=CC(=O)CC2CCC3C4CCC(O)C4(C)CCC3C12C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CC(=O)CCC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=CC(=O)N(c2cccc(C(F)(F)F)c2)C1c1ccc(Cl)cc1,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)N2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CC(=O)OC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
CC1=CC(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C(C)C1)C23,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CC(=O)OC2CCN3CCC(COC(=O)C(C)(O)C(C)C1)C23,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CC(=O)[C@@H]2C[C@H]1C2(C)C,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,
CC1=CC(=O)c2[nH]c(C)c3c4ccccc4nc-3c2C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=CC(=O)c2c(O)cccc2C1=O,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,
CC1=CC(=O)c2ccccc2C1=O,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,1.0,
CC1=CC(C)(C)N(C(=O)c2ccccc2)c2ccc(C)cc21,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(C)(C)N(C)C(=O)N1c1ccc(Cl)cc1,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(C)(C)N(N=O)c2ccccc21,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(C)(C)NC(=S)N1c1cccc(C)c1,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(C)(C)Nc2ccc(CSc3ccccc3)cc21,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC(C)(C)Nc2ccccc21,,,,,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,
CC1=CC(C)C(C=O)C(C)C1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=CC(C)C(C=O)CC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=CC(O)C2CC1C2(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CC(O)CC(C)(C)C1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=CC2(OC3OC(CO)C(O)C(O)C3O)CC(C)C(=O)C2C(C)(O)C12CC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=CC23C(=O)C(C=C(CO)C(O)C2(O)C1O)C1C(CC3C)C1(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
CC1=CC2=C(C=O)C(=O)C(C)(O)C(O)C2=CO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=CC2=C(C=O)C(=O)[C@](C)(O)[C@H](O)C2=CO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=CC2=NC(=O)CC(C)(C(=O)N(CC(=O)NC(C)(C)C)Cc3cccs3)N2C=C1,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC2C(=C(C)C)C(=O)CC(C)C2CC1=O,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CC2C(C(C)C)CCC(C)(O)C2CC1,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC2C(C(c3[nH]c4ccccc4c3CCN(C)C)C34CCN(C)C23Nc2ccccc24)C(C)(C)C1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CC2C(CC1=O)C(C)=CCC2C(C)C,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC1=CC2C(CC1=O)C(C)CC(=O)C2C(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CC2C3CC(C=C3C)C2C1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,
CC1=CC2CCCCC2c2ccccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=CC2OC3C(O)C(O)C(C)(C34CO4)C2(CO)C(O)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CC2OC3C(O)CC(C)(C34CO4)C2(CO)C(O)C1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=CC=C(C(C)C)CC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.0,,
CC1=CC=C(C(C)C)CCC(C=O)=CCCC(C)=CCC1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CCC(=C(C)C)C(=O)CC(C)=CCC1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CCC(=C(C)C)CC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
CC1=CCC(=C(C)CO)C(=O)CC(C)=CCC1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
CC1=CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CCC(C(C)(C)O)CC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,
CC1=CCC(C(C)C)=CC1,,,,,,,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,
CC1=CCC(C(C)C)C=C1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,
CC1=CCC(C)(C)C(O)C2CC2(C)C(O)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CCC(O)(C(C)C)CC1,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,
CC1=CCC(O)C(C=O)=CC2C(CCC(C)=CCC1)C2(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CCC2C(C)=CCC(C(C)(C)C)C2C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CCC2C(C1)C2(C)C,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,
CC1=CCC2CC1C2(C)C,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,
CC1=CCCC(C)(C)C12CCC(C)O2,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,
CC1=CCCC(C)=CC(O)C(C(C)C)CCC(C)=CCC1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CCCC(C)=CCC(C)(C)C=CC1,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
CC1=CCCC23OC2C(OC3=O)c2c(C)coc2C1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CCCC2=CC(OC2=O)c2c(C)coc2C1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
CC1=CCCc2c1cc(C)c1c2ccc2ccccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
CC1=CC[C@@H]2C(C)=CC[C@@H](C(C)C)[C@H]2C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CC[C@@H]2C(C)=CC[C@H](C(C)(C)C)[C@H]2C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CC1=CC[C@@H]2C[C@H]1C2(C)C,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,
CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(CC#CCCCNS(C)(=O)=O)cc1OC2(C)C,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
